Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Source Well,volume,,Dispense#,A or D,plate name,ADW_123,SOR_123,,plate type,well ,Destination Well,volume,Transfer Volume
1,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,1,D,Output1,2,2,3,96 Well Microplate,1,A1,2,25
2,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,2,D,Output1,2,2,3,96 Well Microplate,1,A1,2,25
3,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,3,D,Output1,2,2,3,96 Well Microplate,1,A1,2,25
4,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,4,D,Output1,2,2,3,96 Well Microplate,1,A1,2,25
5,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,5,D,Output1,2,2,3,96 Well Microplate,1,A1,2,25
6,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,6,D,Output1,2,2,3,96 Well Microplate,2,B1,2,25
7,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,7,D,Output1,2,2,3,96 Well Microplate,2,B1,2,25
8,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,8,D,Output1,2,2,3,96 Well Microplate,2,B1,2,25
9,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,9,D,Output1,2,2,3,96 Well Microplate,2,B1,2,25
10,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,10,D,Output1,2,2,3,96 Well Microplate,2,B1,2,25
11,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,11,D,Output1,2,2,3,96 Well Microplate,3,C1,2,25
12,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,12,D,Output1,2,2,3,96 Well Microplate,3,C1,2,25
13,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,13,D,Output1,2,2,3,96 Well Microplate,3,C1,2,25
14,A,SetupPlate1,1,1,3,96 Well Microplate,14,F2,2,,14,D,Output1,2,2,3,96 Well Microplate,3,C1,2,25
15,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,15,D,Output1,2,2,3,96 Well Microplate,3,C1,2,25
16,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,16,D,Output1,2,2,3,96 Well Microplate,4,D1,2,25
17,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,17,D,Output1,2,2,3,96 Well Microplate,4,D1,2,25
18,A,SetupPlate1,1,1,3,96 Well Microplate,9,A2,2,,18,D,Output1,2,2,3,96 Well Microplate,4,D1,2,25
19,A,SetupPlate1,1,1,3,96 Well Microplate,15,G2,2,,19,D,Output1,2,2,3,96 Well Microplate,4,D1,2,25
20,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,20,D,Output1,2,2,3,96 Well Microplate,4,D1,2,25
21,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,21,D,Output1,2,2,3,96 Well Microplate,5,E1,2,25
22,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,22,D,Output1,2,2,3,96 Well Microplate,5,E1,2,25
23,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,23,D,Output1,2,2,3,96 Well Microplate,5,E1,2,25
24,A,SetupPlate1,1,1,3,96 Well Microplate,12,D2,2,,24,D,Output1,2,2,3,96 Well Microplate,5,E1,2,25
25,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,25,D,Output1,2,2,3,96 Well Microplate,5,E1,2,25
26,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,26,D,Output1,2,2,3,96 Well Microplate,6,F1,2,25
27,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,27,D,Output1,2,2,3,96 Well Microplate,6,F1,2,25
28,A,SetupPlate1,1,1,3,96 Well Microplate,10,B2,2,,28,D,Output1,2,2,3,96 Well Microplate,6,F1,2,25
29,A,SetupPlate1,1,1,3,96 Well Microplate,13,E2,2,,29,D,Output1,2,2,3,96 Well Microplate,6,F1,2,25
30,A,SetupPlate1,1,1,3,96 Well Microplate,16,H2,2,,30,D,Output1,2,2,3,96 Well Microplate,6,F1,2,25
31,A,SetupPlate1,1,1,3,96 Well Microplate,20,D3,2,,31,D,Output1,2,2,3,96 Well Microplate,7,G1,2,25
32,A,SetupPlate1,1,1,3,96 Well Microplate,1,A1,2,,32,D,Output1,2,2,3,96 Well Microplate,7,G1,2,25
